Test_ID,penalty_stiffness,damping_factor,contact_damping,steel_E,steel_nu,steel_sigma_yield,steel_limit_strain,wood_E,wood_nu,wood_sigma_uts,wood_limit_strain,Frame,Max_U_Blade,Max_Stress,Max_U_Obs,Blade_Elem,Wood_Elem
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,12,0.16811180885206276,6871343683.015683,0.18826652719218567,113,306
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,13,0.17980600123799934,7610877971.7179,0.2082659959388657,113,298
6,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,14,0.19132608848537766,6187355505.806005,0.22544163035728718,112,298
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,1,0.027664582246687393,9664301795.53561,0.001013579137726249,131,384
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,2,0.041174650621142374,6789038312.233854,0.003099884708314027,131,384
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,3,0.05475126611284678,8139768160.087075,0.0054071776739540245,122,380
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,4,0.06843754205043065,9058383037.393549,0.019267975304444813,113,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,5,0.0814874328927036,7942316692.681058,0.03279660508844757,112,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,6,0.09532168694241526,11559839509.147598,0.0414369648805127,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,7,0.10921649506004871,9472621369.700216,0.05860991251804123,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,8,0.12290443489531433,7616588785.731106,0.07504701175421817,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,9,0.13638858633862042,6282150327.914314,0.08867929913838493,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,10,0.14967198342644006,12165116429.286251,0.10140569679013703,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,11,0.16275761502399122,12041247603.84198,0.11499472062350242,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,12,0.1756484254977556,10050317028.952675,0.12882805515799226,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,13,0.18834731537798163,7420756358.222058,0.14308684652874618,111,371
7,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.15,14,0.20085714201132698,10347769894.201078,0.16536854030674994,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,1,0.027664582246687393,9664301795.53561,0.001013579137726249,131,384
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,2,0.041174650621142374,6789038312.233854,0.003099884708314027,131,384
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,3,0.05475126611284678,8139768160.087075,0.0054071776739540245,122,380
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,4,0.06843754205043065,9058383037.393549,0.019267975304444813,113,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,5,0.0814874328927036,7942316692.681058,0.03279660508844757,112,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,6,0.09532168694241526,11559839509.147598,0.0414369648805127,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,7,0.10921649506004871,9472621369.700216,0.05860991251804123,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,8,0.12290443489531433,7616588785.731106,0.07504701175421817,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,9,0.13638858633862042,6282150327.914314,0.08867929913838493,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,10,0.14967198342644006,12165116429.286251,0.10140569679013703,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,11,0.16275761502399122,12041247603.84198,0.11499472062350242,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,12,0.1756484254977556,10050317028.952675,0.12882805515799226,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,13,0.18834731537798163,7420756358.222058,0.14308684652874618,111,371
8,20000000.0,15.0,3000.0,20500000000.0,0.28,25000000000.0,5.0,1200000000.0,0.26,40000000.0,0.05,14,0.20085714201132698,10347769894.201078,0.16536854030674994,111,371
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,1,0.027584997657575466,83514104.99031615,0.0007206096890934527,127,375
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,2,0.04106923338338247,73146057.25508446,0.007113903499690979,122,372
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,3,0.05435338427106406,65101525.595915124,0.015175114081990253,122,370
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,4,0.06742658704560092,101258397.9119433,0.02311630798087458,117,368
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,5,0.08031015323443863,415519211.4850019,0.030939272025276174,114,366
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,6,0.09300230769190608,73583502.5229855,0.03864576644151232,112,360
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,7,0.10549996117035203,145931295.0280176,0.04623752524934945,109,354
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,8,0.11782352909946092,142249843.35165128,0.05371625665217072,107,350
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,9,0.1299567694431753,164910792.96913928,0.061083643421335,103,342
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,10,0.14188985256594774,44887038.63754699,0.06834134327481287,102,337
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,11,0.15366186553016237,44529685.621606305,0.0754909892501862,100,333
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,12,0.16524003605274673,75199765.99013339,0.08253419007209314,100,328
